YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,LN_CD_1,LN_CD_2,LN_CD_3,LN_DT,LN_AMT,RATE_YN,RPY_CD,EXP_DT,RATE,RPY_AMT
201908,1637656,1,24,8563294,0,0031,100,000,201712,9300,0,00,000000,0,0
201809,295724,1,24,2639171,0,0031,100,000,201011,20000,0,00,000000,0,0
201808,1241988,1,24,6721084,0,0031,100,000,201601,3500,0,00,000000,0,0
201908,1068724,1,24,9134680,0,0031,100,000,201506,2400,1,01,202006,30000,0
201905,1489879,1,24,399420,0,0031,100,000,201709,4500,1,01,202209,24000,0
201907,731059,1,24,9173256,0,0031,100,000,201712,4500,1,04,202207,24000,0
201912,1439566,1,24,3296262,0,0031,100,000,201511,3300,0,00,000000,0,0
201903,1257450,1,24,212067,0,0031,100,000,201705,4800,1,04,202105,28000,0
202004,1140387,1,24,3254828,0,0031,100,000,201710,17000,0,00,000000,0,0
201807,525701,1,24,9397344,0,0031,100,000,201807,4000,0,00,000000,0,0
201812,956021,1,24,4773571,0,0031,100,000,201511,1800,0,00,000000,0,0
202006,475838,1,24,7150691,0,0031,100,000,201012,2300,0,00,000000,0,0
201809,1573436,1,24,740838,0,0031,100,000,201602,430,0,00,000000,0,0
202006,1873580,1,24,9638720,0,0031,100,000,201901,3300,1,04,202210,24000,0
201909,914477,1,24,8957143,0,0031,100,000,201909,3500,1,01,202409,24000,0
201905,722328,1,24,7621178,0,0031,290,000,201803,2500,0,00,000000,0,0
201809,1940094,1,24,1131304,0,0031,240,000,201408,630,0,00,000000,0,0
201811,179145,1,24,1619407,0,0031,100,000,201604,3500,0,00,000000,0,0
201809,952870,1,24,1126933,0,0031,100,000,201711,6300,0,00,000000,0,0
201902,518578,1,24,4589673,0,0031,100,000,201602,7900,0,00,000000,0,0
201809,1768880,1,24,2352044,0,0031,100,000,201603,6500,0,00,000000,0,0
202005,851254,1,24,4421528,0,0031,100,000,201909,3200,1,04,202403,24000,0
201911,1630411,1,24,9604266,0,0031,100,000,201905,11000,1,01,202205,24000,0
202005,1272264,1,24,5960022,0,0031,100,000,201001,3500,0,00,000000,0,0
201811,169715,1,24,2344107,0,0031,100,000,201809,3300,0,00,000000,0,0
201903,564209,1,24,1485061,0,0031,100,000,201612,4900,0,00,000000,0,0
201902,295724,1,24,2639171,0,0031,100,000,201011,20000,0,00,000000,0,0
201808,1065036,1,24,4244327,0,0031,100,000,201808,2100,0,00,000000,0,0
202005,1585700,1,24,5629349,0,0031,100,000,201703,20000,0,00,000000,0,0
201808,1724362,1,24,6807361,0,0031,100,000,201311,1900,0,00,000000,0,0
201812,819490,1,24,7895031,0,0031,100,000,201705,3300,0,00,000000,0,0
201904,498400,1,24,523044,0,0031,100,000,201509,2400,0,00,000000,0,0
202002,580622,1,24,8321995,0,0031,100,000,201109,10000,0,00,000000,0,0
202005,202181,1,24,3665655,0,0031,100,000,201807,17000,1,01,202107,24000,0
201808,1521706,1,24,9020474,0,0031,100,000,201611,20000,0,00,000000,0,0
202006,1086252,1,24,9245091,0,0031,100,000,201510,3600,1,01,202010,30000,0
202004,1918004,1,24,3283612,0,0031,100,000,201609,2400,0,00,000000,0,0
201910,1161457,1,24,9656623,0,0031,100,000,201909,3600,1,01,202009,24000,0
202003,952870,1,24,9320846,0,0031,100,000,201705,5400,1,08,202205,28000,0
201904,742965,1,24,4908800,0,0031,100,000,201310,4600,0,00,000000,0,0
201904,812698,1,24,2980617,0,0031,100,000,201507,15000,0,00,000000,0,0
201901,467185,1,24,10055691,0,0031,100,000,201703,1300,0,00,000000,0,0
201902,1505328,1,24,2708325,0,0031,100,000,201902,1100,0,00,000000,0,0
202006,1450306,1,24,1055946,0,0031,100,000,201911,5300,1,01,202411,24000,0
201911,463993,1,24,2870638,0,0031,100,000,201312,15000,0,00,000000,0,0
201906,941161,1,24,9462598,0,0031,100,000,201001,1500,0,00,000000,0,0
