JOIN_SN,JOIN_SN_TYP,BIZ_SN,BIZ_TYP_CD,BIZ_GIS_CD
61986,1,30907,4000,39
502557,3,40525,0000,36
293366,1,129444,3000,25
1912187,1,191769,9000,23
1650439,1,94244,4000,36
1554472,1,82839,4000,36
1575291,3,36363,6000,21
1804429,1,46947,4000,22
948786,3,131184,3000,36
1915055,1,192065,0000,23
427343,1,134588,4000,21
1747021,1,104299,9000,34
1556206,1,156159,0000,11
678773,1,68393,9000,22
1532616,3,24366,4000,11
1151069,1,127170,0000,33
762739,1,45591,5000,11
937948,1,116997,9000,11
1782070,1,17741,0000,38
467937,3,41946,6000,11
41428,1,68016,5000,11
1278662,1,128377,5000,22
1604482,1,174990,2000,24
611233,1,186463,5000,39
1896355,3,81513,4000,22
1232210,1,69552,9000,21
676967,1,84367,6000,23
1273207,1,195560,6000,11
1594360,1,159975,9000,39
1908247,1,74181,0000,36
632284,1,63712,0000,36
199165,1,20171,0000,11
1786719,3,179122,8000,31
1030059,1,144790,9000,23
1084214,1,36678,8000,38
1497912,3,107337,4000,36
100919,3,21083,7000,36
1795244,1,29609,3000,22
689785,1,9930,9000,11
790143,1,183583,5000,11
23725,1,27418,9000,33
1537227,1,151381,0000,31
877059,3,31886,7000,11
1953922,1,195901,9000,37
275511,1,15842,4000,38
1295577,1,140976,0000,38
441286,1,65570,4000,31
973476,3,95134,4000,11
68283,1,39174,7000,31
147021,1,100509,4000,21
1236182,1,34743,0000,11
1885842,1,3612,4000,32
31922,1,32048,5000,31
1594257,1,147277,6000,11
1491172,1,4452,5000,11
1247055,1,14500,5000,24
397366,1,35013,3000,37
1803309,1,105772,3000,34
365931,1,191821,2000,34
1173712,1,137919,9000,21
588226,1,59340,3000,38
879542,1,88246,0000,11
1897420,1,190295,4000,38
635967,1,64087,6000,99
1296773,1,72877,4000,34
624931,1,43502,9000,31
252430,3,151639,3000,31
547920,1,108972,0000,11
1345742,1,93447,0000,23
815853,1,155408,4000,31
795305,3,59196,3000,11
117116,1,49487,4000,31
1718936,1,126306,5000,34
872440,3,164045,6000,11
1503672,1,29635,4000,25
1839527,1,184464,9000,31
1503237,1,9801,6000,11
1571447,1,74213,9000,22
913160,1,192741,6000,22
1017344,1,126134,3000,11
570122,1,119175,2000,31
1353470,1,62407,4000,31
1142473,1,169677,9000,23
1301881,1,69618,4000,36
4538,1,107509,5000,21
1174149,1,26717,4000,34
116312,1,11864,0000,21
1165662,3,14662,4000,31
960977,1,20752,6000,31
483605,1,181645,5000,33
1890722,1,98895,1000,31
491970,1,49660,0000,99
327705,3,110157,2000,31
637757,1,151207,4000,99
213631,1,106619,4000,35
535859,1,29946,5000,23
1016306,1,124810,8000,24
481074,1,87107,5000,31
1609451,3,7884,5000,11
411643,1,79423,3000,31
706034,1,71136,0000,36
1444876,1,175267,1000,11
1155032,3,24328,7000,11
1364400,1,155439,6000,37
1640950,1,93305,4000,11
1574823,1,11085,4000,36
760866,1,184203,2000,31
385292,3,118438,4000,34
1725651,1,157780,4000,31
1819985,1,166653,3000,38
437424,1,44305,9000,22
1553827,3,105873,2000,21
1742263,3,127806,4000,36
1783374,1,125664,4000,24
1610646,3,158041,7000,11
993487,1,18254,5000,22
346422,1,35115,0000,31
717251,1,43492,0000,11
504150,3,66676,4000,11
1529497,1,132814,1000,35
1237217,1,75200,1000,11
71399,1,170782,9000,11
89985,3,9784,7000,31
582851,1,58778,9000,37
264913,1,111393,4000,23
814372,1,126726,9000,11
1304303,3,152831,6000,24
828806,1,54837,6000,38
8354,1,75869,5000,34
1672687,1,162599,1000,11
1480418,1,41755,4000,37
314544,1,41570,3000,11
1713218,1,139384,7000,11
1856675,1,175710,5000,24
908887,3,180620,2000,11
298243,1,57000,8000,24
1058757,1,106867,5000,26
422669,1,42802,9000,31
320915,3,19550,1000,31
1958510,1,76526,7000,31
1520511,1,28947,8000,23
1516436,3,88340,6000,31
1702099,3,11194,6000,38
1933706,1,154323,4000,39
1353887,1,92307,4000,23
1731168,1,30538,5000,31
1762142,1,176751,9000,99
102592,1,140903,6000,23
1067608,1,126844,5000,38
1415853,1,145310,4000,99
277494,1,141302,6000,32
687963,1,69338,1000,38
570937,1,57612,4000,99
289810,3,82649,2000,22
421525,1,144636,3000,35
718363,1,133095,5000,38
1774443,1,41951,4000,21
347344,1,176302,1000,11
1346313,1,135053,0000,11
766886,1,165734,9000,11
911392,1,91399,9000,37
295630,1,47149,9000,31
1346266,1,122187,3000,25
1569323,1,94401,9000,33
94806,1,9600,9000,32
700388,1,147741,9000,11
455294,1,779,0000,11
1189310,1,146948,4000,31
1123309,1,36466,9000,11
490127,1,156620,4000,34
821982,3,191635,6000,21
1856675,1,61390,5000,24
126639,1,10044,4000,38
881685,1,40787,6000,31
1800085,1,29055,4000,31
1488211,1,8437,5000,31
353612,1,160106,4000,37
736572,1,74165,6000,99
1505656,1,28630,2000,31
1162766,3,174335,4000,11
381841,1,130211,6000,99
692930,1,51271,5000,31
898429,1,85920,7000,11
688754,1,96445,8000,34
596317,1,1313,7000,34
387384,3,65553,6000,31
887426,1,89001,0000,24
870706,1,87392,4000,31
1398149,1,185434,4000,31
1325576,1,55401,6000,11
1251880,3,73786,4000,35
547644,1,55234,9000,34
1523463,1,36830,7000,31
1031018,1,174061,6000,38
1338382,3,193593,1000,33
394118,3,173162,7000,33
39584,1,54986,4000,23
1847578,1,41353,0000,34
1271447,3,145443,2000,36
250017,1,124036,3000,11
1249511,1,153170,3000,31
1707352,3,181206,5000,11
188781,3,30178,6000,11
1855868,1,63440,4000,36
994198,1,99786,4000,31
1515715,1,15640,4000,23
309189,1,192845,5000,11
1067753,1,81324,4000,21
1215977,1,92860,4000,36
1805409,1,149424,1000,11
398829,1,109278,1000,11
1486629,1,75237,6000,21
601955,3,397,4000,24
1210590,1,121459,9000,99
484509,1,42600,4000,35
1232447,1,93612,6000,23
1411853,1,29370,4000,34
1606022,1,130124,3000,34
1426765,1,82860,4000,22
860068,1,183755,6000,11
98505,1,133805,2000,11
1130570,1,165465,4000,25
748092,1,123376,6000,11
1211091,1,21097,8000,11
704005,3,190305,1000,25
1936587,1,149948,4000,11
938554,1,95881,4000,11
903607,1,16129,4000,11
725788,1,118538,5000,31
1909778,1,148078,3000,38
918968,1,42475,9000,11
283879,1,72036,3000,24
382758,1,30037,4000,32
316292,1,50444,9000,31
907060,1,35420,4000,31
994418,1,8393,2000,24
1274625,1,127991,9000,24
1156150,1,193559,9000,11
1355183,1,136782,1000,23
1149892,1,144548,6000,24
1784359,1,86783,4000,31
1265988,1,43014,6000,37
1859994,3,144205,9000,24
712573,1,76143,6000,25
1278662,1,94317,4000,22
1524010,1,160200,4000,31
1020273,1,70436,1000,31
116038,1,95673,4000,21
1421538,1,78819,5000,34
1886704,1,153971,5000,21
1094341,1,121917,9000,31
348135,3,172282,2000,11
994198,1,162030,1000,31
1928262,1,30424,1000,11
221459,1,138530,4000,34
773995,1,144457,4000,35
1391048,1,120907,6000,31
329824,1,163904,3000,25
1345264,3,127080,4000,33
1447683,1,145279,0000,35
696846,1,93980,2000,31
1033383,1,71102,0000,35
712573,1,49734,4000,25
1087776,3,109294,8000,22
722241,1,103616,5000,11
1702585,3,60904,5000,21
473369,1,6908,4000,11
816243,1,53892,4000,11
903009,1,44431,5000,31
1288309,1,154627,5000,34
1841274,1,181611,5000,37
1558175,1,156364,0000,11
1221560,1,157472,9000,21
544514,1,36891,4000,37
619551,1,76546,5000,39
1156577,1,106382,6000,11
742024,1,4790,3000,11
1663647,1,166857,4000,99
687933,1,131001,3000,31
1211079,1,179054,6000,31
975816,3,177132,1000,31
534845,1,40661,9000,31
467779,1,23488,5000,22
1594360,1,145124,5000,39
1628904,1,148478,8000,31
63016,1,5671,4000,11
733496,1,174713,7000,11
1843432,1,184873,9000,31
1601029,1,160613,0000,36
1585442,1,118994,6000,11
800792,1,14325,2000,31
1805344,3,51868,1000,11
6741,1,650,0000,11
826676,1,182923,2000,11
1406794,1,120756,9000,11
772122,1,77659,0000,11
1650095,1,165478,0000,34
1448463,1,31385,2000,38
1810659,1,76180,4000,11
835414,3,83882,9000,23
677906,1,93011,8000,31
322223,1,97396,5000,25
1699387,1,113416,5000,21
1708863,1,171356,8000,25
637492,1,107938,8000,11
396111,1,176856,3000,32
1115998,1,102205,4000,22
1939310,3,87102,3000,38
1686075,1,180444,4000,23
1220273,1,173396,5000,35
1012750,1,65743,6000,31
1860234,1,166499,6000,31
937730,1,162545,2000,31
1321855,1,73570,5000,34
521315,1,52604,9000,23
888724,1,96242,7000,31
1418233,3,97935,4000,32
906363,1,128763,5000,11
763621,1,133563,5000,26
1906479,1,175420,6000,31
617046,1,13652,9000,24
463093,1,75677,0000,11
221179,1,18999,9000,37
257781,1,13533,9000,21
1738317,1,23379,9000,22
642241,3,111546,0000,11
839147,1,90820,6000,11
1236958,1,54201,5000,31
292400,3,96218,6000,34
1107698,1,168786,4000,11
1635556,3,34906,9000,23
123890,3,13575,4000,11
96275,1,154820,4000,99
349120,1,52003,4000,31
1229517,3,189084,4000,11
825146,1,149646,4000,32
1212273,1,46997,6000,31
1911051,1,192100,0000,33
1370487,1,186858,9000,22
514566,1,156213,0000,21
552329,1,33290,4000,21
314398,1,47156,4000,11
1344024,1,176048,6000,11
960474,1,68412,4000,11
13657,1,127633,8000,31
517703,1,41676,0000,33
1595399,3,52190,7000,39
494258,1,110193,9000,25
638109,1,66047,4000,11
887760,1,89036,0000,32
439991,1,56090,4000,22
1572465,1,107271,4000,38
1419562,3,14869,4000,31
239368,1,77744,4000,11
842804,3,150919,3000,36
643079,3,84355,6000,31
622417,1,62747,0000,37
254612,1,104405,0000,25
1182633,1,102137,4000,38
270316,3,75318,6000,11
186097,1,96499,0000,11
1035345,1,177481,4000,11
300435,1,111183,6000,11
916607,1,178520,5000,11
178013,1,18117,9000,99
352126,3,101429,4000,22
1000129,1,9022,4000,11
997299,3,43241,4000,31
1701428,1,41639,9000,31
74714,1,172174,2000,31
656576,1,152886,5000,38
687963,1,151890,6000,38
143558,1,42010,6000,99
1528994,1,31630,3000,21
519613,1,113315,4000,26
269742,1,166678,6000,25
1679065,1,86538,4000,38
683738,1,68895,9000,39
1321535,1,182222,4000,22
1571447,1,151002,4000,22
686870,1,69222,6000,99
803496,1,151957,4000,22
1064205,3,106888,8000,23
440184,3,187093,2000,23
1023201,3,156081,4000,31
940238,1,94310,0000,39
1001603,1,122427,7000,31
153340,1,89101,4000,11
1023243,1,93884,4000,21
875749,3,87875,8000,37
813637,1,46845,7000,25
350230,3,161737,6000,24
860152,1,86353,6000,24
799544,1,173649,4000,31
935993,1,166133,9000,31
707590,1,88960,9000,11
776450,3,83952,6000,11
668254,1,96429,6000,34
1277358,3,97466,7000,24
1399315,3,77066,2000,38
96524,1,9771,9000,26
879928,3,42186,6000,99
1580057,3,84707,2000,23
132785,1,62457,9000,31
821692,1,37500,0000,21
1309893,3,77800,4000,22
552362,1,187986,0000,34
1886015,1,92820,6000,31
877535,1,51131,8000,31
681879,1,128244,6000,11
717320,3,71993,4000,31
828327,1,84467,6000,11
426021,1,29385,7000,21
1499933,1,13319,7000,21
99596,3,127651,4000,11
1083080,1,29281,4000,31
942285,1,111078,8000,24
1263344,1,16900,0000,11
1351144,3,121197,5000,11
211082,1,34136,4000,31
656576,1,66230,9000,38
1935251,1,169813,0000,31
1765147,1,72157,4000,11
1818027,1,35712,6000,31
721299,1,72676,9000,99
1336853,3,539,3000,11
1383434,1,101459,6000,32
