YM,JOIN_SN,JOIN_SN_TYP,BIZ_SN,SCTR_CD,COM_SN,IS_ME,DLQ_CD_1,DLQ_CD_2,DLQ_RGST_DT,DLQ_RGST_AMT,DLQ_AMT,RLS_RSN_CD,RLS_DT
201904,826249,1,0,12,7607565,0,0601,0,201412,0,0,00,000000
201911,259054,1,0,12,2371527,0,1201,0,201508,0,0,00,000000
202005,713447,1,0,12,3232186,0,0601,0,201408,0,0,00,000000
201807,459730,1,0,12,7740417,0,0801,0,201505,1600,0,00,000000
202005,1675157,1,0,12,4946903,0,1201,0,201910,0,0,00,000000
202006,172372,1,0,12,4002705,0,0801,0,201705,5300,0,00,000000
201807,1252950,1,0,12,4130743,0,0601,0,201404,0,0,00,000000
201903,1856410,1,0,12,6219582,0,1101,0,201812,0,0,00,000000
201806,631878,1,0,12,1661921,0,0801,0,201406,3500,0,00,000000
201806,653984,1,0,12,5869095,0,0601,0,201504,0,0,00,000000
201912,780826,1,0,12,4611943,0,1201,0,201707,0,0,00,000000
201905,588845,1,0,12,8302104,0,0604,0,201903,0,0,00,000000
201908,834887,1,0,12,7249215,0,0801,0,201701,1100,0,00,000000
202002,1598103,1,0,12,8642690,0,0601,0,201603,0,0,00,000000
202004,101878,1,0,12,2766194,0,0801,0,201607,6100,0,00,000000
201806,679132,1,0,12,7112737,0,0601,0,201609,0,0,00,000000
202003,459730,1,0,12,7740417,0,0801,0,201505,1600,0,00,000000
202001,975759,1,0,12,5030940,0,0801,0,201502,1100,0,00,000000
201808,1785420,1,0,12,8115922,0,0601,0,201510,0,0,00,000000
202002,1079064,1,0,12,134276,0,0801,0,201912,3500,0,00,000000
201903,956021,1,0,12,6638513,0,0601,0,201612,0,0,00,000000
202002,742495,1,0,12,4945616,0,0801,0,201806,1400,0,00,000000
201911,1879197,1,0,12,6523768,0,1301,0,201511,0,0,00,000000
201810,1023052,1,0,12,1145866,0,0801,0,201609,3400,0,00,000000
202006,1704630,1,0,12,9763602,0,1301,0,201708,0,0,00,000000
201902,438964,1,0,12,1242445,0,1301,0,201606,0,0,00,000000
201910,581334,1,0,12,4562548,0,0601,0,201801,0,0,00,000000
201910,863098,1,0,12,2074864,0,0801,0,201702,8600,0,00,000000
202006,1701986,1,0,12,5462957,0,0801,0,201505,5300,0,00,000000
201807,1286160,1,0,12,8495626,0,0601,0,201510,0,0,00,000000
201810,567064,1,0,12,5382577,0,0801,0,201304,10000,0,00,000000
201807,1903182,1,53508,12,9315,0,0802,0,201308,0,0,00,000000
201907,1793052,1,0,12,616522,0,1201,0,201801,0,0,00,000000
201906,670404,1,0,12,37572,0,1201,0,201610,0,0,00,000000
201906,990589,1,0,12,9590695,0,0801,0,201305,10000,0,00,000000
201910,790896,1,0,12,7161655,0,0601,0,201412,0,0,00,000000
201806,1256989,1,0,12,6812546,0,0601,0,201607,0,0,00,000000
202006,747749,1,0,12,757152,0,0801,0,201707,10000,0,00,000000
201904,777071,1,0,12,6771464,0,0801,0,201304,1400,0,00,000000
201910,348376,1,0,12,8190255,0,0604,0,201802,0,0,00,000000
201902,316099,1,0,12,2752828,0,1201,0,201403,0,0,00,000000
201905,220455,1,0,12,1250618,0,1301,0,201602,0,0,00,000000
202002,1785420,1,0,12,8115922,0,0601,0,201510,0,0,00,000000
202001,1858746,1,0,12,5505674,0,0801,0,201304,5700,0,00,000000
201907,1097965,1,0,12,4527501,0,0801,0,201804,1000,0,00,000000
202001,1481437,1,0,12,8814996,0,0801,0,201804,1000,0,00,000000
201901,936730,1,0,12,2477857,0,1201,0,201608,0,0,00,000000
201811,1806122,1,0,12,2240773,0,0606,0,201410,0,0,00,000000
202003,586647,1,0,12,1847652,0,1301,0,201908,0,0,00,000000
202005,1414537,1,0,12,5395086,0,0801,0,201805,1000,0,00,000000
201912,931283,1,0,12,373344,0,0604,0,201301,0,0,00,000000
201906,138128,1,0,12,2439118,0,0801,0,201511,2800,0,00,000000
201807,1547696,1,0,12,6139651,0,1301,0,201512,0,0,00,000000
202004,937730,1,0,12,7349878,0,0601,0,201608,0,0,00,000000
201808,486690,1,0,12,1147922,0,0801,0,201703,3000,0,00,000000
201903,1658401,1,0,12,2395986,0,0801,0,201505,4500,0,00,000000
201911,462661,1,0,12,9003969,0,1201,0,201602,0,0,00,000000
201809,831890,1,0,12,4029782,0,0801,0,201705,7700,0,00,000000
201807,1140557,1,0,12,8328210,0,1201,0,201612,0,0,00,000000
201901,1955808,1,0,12,8203028,0,0801,0,201209,9700,0,00,000000
201810,373306,1,0,12,5290417,0,1201,0,201405,0,0,00,000000
201907,801783,1,0,12,2560569,0,1201,0,201601,0,0,00,000000
201911,642888,1,0,12,304618,0,0601,0,201608,0,0,00,000000
202005,1321855,1,0,12,607017,0,0601,0,201501,0,0,00,000000
201810,918365,1,0,12,2938390,0,0601,0,201502,0,0,00,000000
202005,879251,1,0,12,3929374,0,1301,0,201811,0,0,00,000000
202002,1769581,1,0,12,5954147,0,0801,0,201805,5400,0,00,000000
201904,82275,1,0,12,1591228,0,0801,0,201810,10000,0,00,000000
202006,36680,1,0,12,3949855,0,1201,0,201602,0,0,00,000000
201911,990589,1,0,12,9590695,0,0801,0,201305,10000,0,00,000000
201912,1866086,1,0,12,6244982,0,1301,0,201611,0,0,00,000000
202003,1658401,1,0,12,2395986,0,0801,0,201505,4500,0,00,000000
202004,10371,1,0,12,9121541,0,0801,0,201803,1000,0,00,000000
201906,556143,1,0,12,4855531,0,1201,0,201804,0,0,00,000000
201807,1241988,1,0,12,9678631,0,0801,0,201807,3500,0,00,000000
201912,97968,1,0,12,5449892,0,1101,0,201803,0,0,00,000000
202004,591959,1,0,12,3505759,0,1201,0,201506,0,0,00,000000
201812,747621,1,0,12,9182031,0,0601,0,201706,0,0,00,000000
201811,891288,1,0,12,4347362,0,0601,0,201201,0,0,00,000000
201904,1177091,1,0,12,8112414,0,0601,0,201803,0,0,00,000000
201909,952132,1,0,12,5791602,0,0801,0,201907,3300,0,00,000000
201908,1836553,1,0,12,6993832,0,1301,0,201807,0,0,00,000000
201904,1433025,1,0,12,3194079,0,0601,0,201403,0,0,00,000000
201810,1924058,1,0,12,359126,0,1301,0,201507,0,0,00,000000
201912,1785420,1,0,12,8115922,0,0601,0,201510,0,0,00,000000
201809,908281,1,0,12,3868780,0,0601,0,201503,0,0,00,000000
201808,1806113,1,0,12,8013909,0,0601,0,201110,0,0,00,000000
201907,84180,1,0,12,9049497,0,1301,0,201505,0,0,00,000000
201907,718577,1,0,12,5177838,0,0601,0,201404,0,0,00,000000
201908,113981,1,0,12,6538220,0,0601,0,201902,0,0,00,000000
201808,534974,1,0,12,10063357,0,0606,0,201508,0,0,00,000000
201812,625602,1,0,12,2283004,0,0801,0,201611,2000,0,00,000000
201912,705886,1,0,12,7651014,0,0601,0,201302,0,0,00,000000
201809,1132423,1,0,12,9147285,0,0801,0,201512,4700,0,00,000000
201906,527124,1,0,12,2714858,0,0801,0,201405,3500,0,00,000000
201910,1394009,1,0,12,9963298,0,0801,0,201310,3500,0,00,000000
201904,1477367,1,0,12,5192074,0,1301,0,201809,0,0,00,000000
201909,1685818,1,0,12,8524347,0,0601,0,201511,0,0,00,000000
202001,1868478,1,0,12,561781,0,0801,0,201807,1000,0,00,000000
201809,1500406,1,0,12,2992143,0,1201,0,201311,0,0,00,000000
202003,1588947,1,0,12,4321794,0,1201,0,201505,0,0,00,000000
201906,1067244,1,0,12,1499461,0,0801,0,201611,1000,0,00,000000
201904,654788,1,0,12,8304226,0,0801,0,201702,3700,0,00,000000
201807,918143,1,0,12,7498583,0,0801,0,201604,3100,0,00,000000
201808,1000121,1,0,12,8372133,0,0801,0,201205,8700,0,00,000000
201909,665355,1,0,12,9241111,0,0611,0,201504,0,0,00,000000
202005,1177091,1,0,12,8112414,0,0601,0,201810,0,0,00,000000
201907,1902230,1,0,12,8933447,0,0801,0,201308,10000,0,00,000000
