YM,JOIN_SN,JOIN_SN_TYP,BIZ_SN,SCTR_CD,COM_SN,IS_ME,DLQ_CD_1,DLQ_CD_2,DLQ_RGST_DT,DLQ_RGST_AMT,DLQ_AMT,RLS_RSN_CD,RLS_DT
201912,801488,1,0,24,7457842,0,0101,0,201701,3600,1,00,000000
201807,895503,1,0,01,872260,0,0101,7,201101,7400,7400,99,201801
201907,1556545,1,0,01,7226993,0,0101,7,201511,3800,3800,00,000000
201906,1950347,1,0,12,7536916,0,0201,0,201905,1400,1400,00,000000
202003,748795,1,0,24,3591571,0,0101,0,201712,1400,1400,00,000000
202002,646791,1,0,12,3601387,0,0202,0,201602,3700,1800,00,000000
201910,1012213,1,0,17,9892259,0,0101,7,201502,1700,1700,00,000000
201909,611965,1,0,05,3869857,0,0103,7,201404,1200,1200,00,000000
201910,564209,1,150432,12,2160635,0,0202,0,201711,11000,11000,00,000000
201808,558610,1,0,21,605094,0,0101,0,201010,100000,68000,99,201710
201910,89504,1,0,05,5058923,0,0103,7,201301,1000,1000,00,000000
202005,260815,1,0,12,1790167,0,0201,0,201603,920,100,00,000000
201908,619476,1,0,24,559066,0,0101,0,201504,3400,3400,00,000000
201906,1117439,1,0,12,7894701,0,0101,0,201407,18000,18000,00,000000
201808,1270116,1,0,16,5186303,0,0101,7,201011,13000,13000,99,201711
201911,1293113,1,0,03,4423159,0,0101,7,201309,9000,9000,00,000000
201810,895503,1,0,01,872260,0,0101,7,201101,7400,7400,99,201801
201806,1081434,1,0,05,9612854,0,0103,7,201601,380,380,00,000000
201911,1227614,1,0,05,4845987,0,0104,7,201506,1200,1200,00,000000
202005,575035,1,0,12,8692680,0,0101,0,201404,1400,1400,00,000000
202006,213111,1,0,12,6080743,0,0115,0,201704,1100,1100,00,000000
201909,197922,1,0,24,2212949,0,0104,7,201504,8600,0,00,000000
201809,1293383,1,128451,12,1648566,0,0202,0,201508,6400,6300,00,000000
201905,1012213,1,0,01,6330948,0,0101,7,201309,13000,13000,00,000000
201809,349084,1,0,21,1942475,0,0101,0,201207,2900,2900,00,000000
201808,1116831,1,0,05,2510645,0,0103,7,201705,1000,1000,00,000000
201912,136631,1,0,05,3965177,0,0104,7,201602,110,110,00,000000
201806,1344651,1,0,12,4077084,0,0101,0,201407,12000,12000,00,000000
201902,1378888,1,0,12,5669298,0,0202,0,201208,2900,2900,00,000000
201902,757734,1,0,05,4017148,0,0104,7,201110,740,740,99,201810
202005,1116831,1,0,05,2510645,0,0103,7,201705,1000,1000,00,000000
202003,513378,1,0,12,5524315,0,0112,0,201310,5700,5700,00,000000
201912,314410,1,0,21,7317271,0,0101,0,201611,73000,73000,00,000000
201912,259690,1,0,05,6900134,0,0103,0,201906,260,110,00,000000
201903,1944049,1,134362,01,4011262,0,0101,7,201310,17000,2,13,201806
201901,305778,1,191264,12,1278860,0,0202,7,201301,20000,20000,00,000000
202006,213111,1,0,17,5677253,0,0101,0,202002,2000,700,00,000000
201909,1959067,1,0,12,4273150,0,0201,0,201906,620,620,00,000000
201906,157214,1,0,24,8591230,0,0104,0,201406,4200,4200,00,000000
202001,62214,1,0,12,2784569,0,0202,0,201804,50000,50000,00,000000
201904,1513976,1,0,03,2523920,0,0101,7,201106,6400,6400,99,201806
202005,1081434,1,0,05,9612854,0,0103,7,201601,170,170,00,000000
202005,1012213,1,0,24,7236651,0,0104,0,201501,120,120,00,000000
201906,677906,1,0,21,3980849,0,0101,0,201712,260,260,00,000000
202006,1322918,1,0,01,8048221,0,0101,0,201905,100000,0,01,202006
201911,1545255,1,0,12,8159159,0,0201,0,201808,950,950,00,000000
201905,636569,1,0,05,4895494,0,0103,7,201306,1900,1900,00,000000
202001,1737482,1,0,12,5563367,0,0201,0,201912,1200,1200,00,000000
201904,704113,1,0,05,2496619,0,0104,7,201303,550,550,00,000000
201908,1453,1,0,05,4092743,0,0104,7,201704,860,860,00,000000
202005,1303080,1,0,05,8142547,0,0104,7,202005,100,100,00,000000
201812,1560969,1,0,12,298749,0,0201,0,201707,100,100,00,000000
201901,157214,1,0,05,7970828,0,0104,7,201404,2700,2700,00,000000
202002,1151100,1,0,12,486266,0,0104,0,201608,2200,2200,00,000000
201905,1528512,1,0,12,4816700,0,0202,0,201312,9000,5600,00,000000
201901,1311201,1,0,12,6967829,0,0202,0,201711,1900,1900,00,000000
201809,503941,1,0,12,753965,0,0101,0,201507,2000,2000,00,000000
201905,793886,1,0,05,9517998,0,0103,7,201805,460,460,00,000000
201910,508161,1,0,12,272489,0,0201,0,201909,250,250,00,000000
201909,513378,1,0,05,1839622,0,0104,7,201310,8800,8800,00,000000
201907,257771,1,0,12,3633166,0,0201,0,201712,770,760,00,000000
201908,68474,1,0,05,2430297,0,0103,0,201907,4600,4600,00,000000
201911,1067296,1,0,12,7067849,0,0201,0,201806,900,900,00,000000
