JOIN_SN,JOIN_SN_TYP,BTH_YR,GENDER,IS_KRN
787068,1,1984,2,1
1630591,1,2010,2,1
746631,1,1985,1,1
936890,1,2010,1,1
1850766,1,1959,1,1
680870,1,1995,1,1
496097,1,1957,1,1
1482450,1,2005,2,1
407358,1,1951,1,1
1842425,1,1981,2,1
1207926,1,1991,2,1
1385583,1,1972,1,1
467779,1,1975,1,1
776737,1,1975,2,1
1037414,1,1987,2,1
428017,1,2001,2,1
768519,3,0000,0,0
1773757,1,1952,2,1
1777413,1,1958,1,1
1850185,1,1980,2,1
131223,1,1955,2,1
508730,1,2006,1,1
454473,1,1940,1,1
79485,1,2009,2,1
291078,1,1944,1,1
1140727,1,1966,2,1
852653,1,2000,1,1
332015,1,1991,1,1
627538,3,0000,0,0
1695603,1,2010,1,1
1797712,1,1983,2,1
21804,1,2006,1,1
1004126,1,1986,1,1
367975,1,1988,2,1
868625,1,1946,1,1
1473836,1,1963,1,1
990777,1,1993,2,1
1953303,1,2007,1,1
1034441,1,1998,2,1
1068369,1,2002,1,1
769996,1,1988,2,1
1145620,1,1996,1,1
612348,1,1999,1,1
683260,1,1954,2,1
455254,1,1970,2,1
816589,1,1982,2,1
106170,1,2010,1,1
726242,1,1970,2,1
270145,1,1992,2,1
1848148,1,1950,2,1
1254726,1,1989,1,1
1080434,1,2009,1,1
927058,1,1958,1,1
1558175,1,1982,2,1
1098977,1,1947,1,1
910321,1,1946,1,1
1203095,1,1935,1,1
569506,1,1967,1,1
1480450,1,2010,1,1
880198,1,1955,1,1
1600893,1,1953,2,1
163835,1,1993,2,1
1724981,1,2002,1,1
1773386,1,2006,1,1
695698,3,0000,0,0
100921,1,1943,2,1
1170913,1,1971,1,1
173872,1,2009,1,1
771167,1,1994,2,1
1325910,1,1966,1,1
831474,1,1989,1,1
1559426,1,1998,1,1
524899,1,2010,1,1
1713968,1,1996,2,1
1094396,1,1977,1,1
1797669,1,2008,1,1
313284,1,1981,1,1
136706,1,1952,1,1
478485,1,1989,2,1
709372,1,1961,2,1
1752934,1,2010,2,1
42410,1,1946,1,1
1161727,1,1968,2,1
1095039,1,1966,1,1
619688,1,2010,2,1
465688,1,2007,2,1
670991,1,1988,1,1
527958,1,1959,1,1
15841,1,1951,2,1
883690,1,1981,1,1
1311600,1,1978,1,1
904218,1,1998,2,1
1724579,1,1977,2,1
56031,3,0000,0,0
854129,1,1995,1,1
1651200,1,1989,1,1
1921793,1,1976,2,1
220984,1,1978,1,1
1137062,1,2009,1,1
1300982,1,2010,2,1
1887399,1,1967,2,1
1779245,1,1981,2,1
1424572,1,2010,1,1
425144,1,1997,1,1
1278981,1,1985,2,1
365360,1,1955,2,1
96314,1,2010,1,1
86349,1,1961,2,1
1799985,1,1978,1,1
723264,1,1993,2,1
1850150,1,1966,1,1
1723895,1,2010,2,1
755339,1,2002,2,1
118148,1,1970,1,1
1531371,1,1972,2,1
1942558,1,2005,1,1
1863567,1,2010,2,1
936730,1,1942,2,1
1502905,1,2010,1,1
1584741,1,1939,2,1
1380668,1,1942,1,1
809190,1,1993,1,1
1803098,1,1962,2,1
1666121,1,2010,2,1
1323967,1,1977,2,1
883651,1,1950,2,1
984330,1,1959,2,1
1752499,1,2007,1,1
1034955,1,1950,1,1
316292,1,1978,1,1
921177,1,1995,2,1
1946656,1,1961,1,1
506846,1,1991,2,1
98995,1,1992,1,1
1405785,1,1953,1,1
1396657,1,2006,2,1
1944772,1,1967,2,1
519677,1,1968,2,1
135616,1,2005,1,1
293296,1,2010,2,1
1075018,1,1972,1,1
389824,1,1946,2,1
55584,1,1970,1,1
100111,1,1951,1,1
